content_type,slug_or_title,display_name,category,body_section,source_citation,guideline_url,edition_year,key_criteria_notes,status
template,ct-head-acute,"CT Head (acute, non-contrast)",CT,Brain,,,,, pending
template,ctpa-pulmonary-angiogram,CTPA (Pulmonary Angiogram),CTA,Thorax,,,,, pending
template,ct-abdomen-pelvis-acute,CT Abdomen/Pelvis (acute abdomen),CT,Abdomen,,,,, pending
template,ct-cervical-spine-trauma,CT Cervical Spine (trauma),CT,Spine,,,,, pending
template,ct-whole-body-polytrauma,CT Whole Body (polytrauma),CT,Multisystem,,,,, pending
template,ct-aorta-dissection,CT Aorta (dissection/aneurysm),CTA,Cardiovascular,,,,, pending
template,ct-kub-renal-colic,CT KUB (renal colic),CT,Abdomen,,,,, pending
template,ct-head-stroke-cta,CT Head Stroke (CTA Circle of Willis),CTA,Brain,,,,, pending
template,chest-xray-normal-adult,Chest X-ray (normal adult),XR,Thorax,,,,, pending
template,chest-xray-itu,Chest X-ray (ITU/ICU),XR,Thorax,,,,, pending
template,mri-lumbar-spine,MRI Lumbar Spine,MRI,Spine,,,,, pending
template,mri-brain-routine,MRI Brain (routine),MRI,Brain,,,,, pending
template,mri-knee,MRI Knee,MRI,Musculoskeletal,,,,, pending
template,ct-chest-routine,CT Chest (routine with contrast),CT,Thorax,,,,, pending
template,us-abdomen-general,Ultrasound Abdomen (general),US,Abdomen,,,,, pending
template,ct-abdomen-triple-phase-liver,CT Abdomen (triple phase liver),CT,Abdomen,,,,, pending
template,mri-cervical-spine,MRI Cervical Spine,MRI,Spine,,,,, pending
template,ct-cap-oncology-staging,CT Chest/Abdomen/Pelvis (oncology staging),CT,Multisystem,,,,, pending
template,ct-cap-oncology-followup,CT Chest/Abdomen/Pelvis (oncology follow-up RECIST),CT,Multisystem,,,,, pending
template,us-renal,Ultrasound Renal,US,Abdomen,,,,, pending
template,ct-sinuses,CT Sinuses,CT,Head and Neck,,,,, pending
template,ct-neck-staging,CT Neck with contrast (staging),CT,Head and Neck,,,,, pending
template,us-thyroid,Ultrasound Thyroid,US,Head and Neck,,,,, pending
template,us-neck-lumps,Ultrasound Neck lumps,US,Head and Neck,,,,, pending
template,mri-brain-epilepsy,MRI Brain (epilepsy protocol),MRI,Brain,,,,, pending
template,mri-brain-dementia,MRI Brain (dementia/memory clinic),MRI,Brain,,,,, pending
template,mri-brain-pituitary,MRI Brain (pituitary protocol),MRI,Brain,,,,, pending
template,ct-thoracolumbar-spine-trauma,CT Thoracic/Lumbar Spine (trauma),CT,Spine,,,,, pending
template,mri-whole-spine-metastatic,MRI Whole Spine (metastatic survey),MRI,Spine,,,,, pending
template,ct-chest-hrct,CT Chest (HRCT - ILD),CT,Thorax,,,,, pending
template,ct-abdomen-pancreatic,CT Abdomen (pancreatic protocol),CT,Abdomen,,,,, pending
template,ct-abdomen-sbo,CT Abdomen (small bowel obstruction),CT,Abdomen,,,,, pending
template,mri-liver-primovist,MRI Liver (hepatocyte-specific / Primovist),MRI,Abdomen,,,,, pending
